zona,estado_pob,area_f,sexo_jefe,edad_tramo,quintil,expr,n
Zona Austral,Pobreza multidimensional,Urbano,Mujer,Mayor (60+),III,222.0,9
Zona Austral,Pobreza multidimensional,Urbano,Mujer,Mayor (60+),IV,106.0,4
Zona Austral,Pobreza multidimensional,Urbano,Mujer,Mayor (60+),V,48.0,2
Zona Austral,Pobreza por ingresos,Rural,Hombre,Adulto (30-59),I,90.0,4
Zona Austral,Pobreza por ingresos,Rural,Hombre,Adulto (30-59),II,97.0,3
Zona Austral,Pobreza por ingresos,Rural,Hombre,Adulto (30-59),III,88.0,3
Zona Austral,Pobreza por ingresos,Rural,Hombre,Joven (≤29),II,47.0,1
Zona Austral,Pobreza por ingresos,Rural,Hombre,Mayor (60+),I,342.0,23
Zona Austral,Pobreza por ingresos,Rural,Mujer,Adulto (30-59),I,219.0,16
Zona Austral,Pobreza por ingresos,Rural,Mujer,Adulto (30-59),II,91.0,5
Zona Austral,Pobreza por ingresos,Rural,Mujer,Joven (≤29),I,51.0,1
Zona Austral,Pobreza por ingresos,Rural,Mujer,Mayor (60+),I,272.0,16
Zona Austral,Pobreza por ingresos,Rural,Mujer,Mayor (60+),II,14.0,2
Zona Austral,Pobreza por ingresos,Urbano,Hombre,Adulto (30-59),I,927.0,30
Zona Austral,Pobreza por ingresos,Urbano,Hombre,Adulto (30-59),II,719.0,18
Zona Austral,Pobreza por ingresos,Urbano,Hombre,Adulto (30-59),III,93.0,2
Zona Austral,Pobreza por ingresos,Urbano,Hombre,Joven (≤29),I,240.0,7
Zona Austral,Pobreza por ingresos,Urbano,Hombre,Joven (≤29),II,174.0,5
Zona Austral,Pobreza por ingresos,Urbano,Hombre,Joven (≤29),III,89.0,3
Zona Austral,Pobreza por ingresos,Urbano,Hombre,Mayor (60+),I,1551.0,54
Zona Austral,Pobreza por ingresos,Urbano,Hombre,Mayor (60+),II,102.0,4
Zona Austral,Pobreza por ingresos,Urbano,Hombre,Mayor (60+),III,29.0,1
Zona Austral,Pobreza por ingresos,Urbano,Mujer,Adulto (30-59),I,2418.0,88
Zona Austral,Pobreza por ingresos,Urbano,Mujer,Adulto (30-59),II,1185.0,42
Zona Austral,Pobreza por ingresos,Urbano,Mujer,Adulto (30-59),III,31.0,1
Zona Austral,Pobreza por ingresos,Urbano,Mujer,Joven (≤29),I,266.0,7
Zona Austral,Pobreza por ingresos,Urbano,Mujer,Joven (≤29),II,172.0,6
Zona Austral,Pobreza por ingresos,Urbano,Mujer,Joven (≤29),III,24.0,1
Zona Austral,Pobreza por ingresos,Urbano,Mujer,Mayor (60+),I,1689.0,82
Zona Austral,Pobreza por ingresos,Urbano,Mujer,Mayor (60+),II,314.0,15
